FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA;VIENTO DIRECCION;VIENTO VELOCIDAD
15/10/2016 12:00;98.0;99.0;93.0;0.0;;;13.7;14.7;13.5;18.0;0.8
15/10/2016 11:00;94.0;96.0;84.0;0.0;;;14.6;16.0;14.2;27.0;2.3
15/10/2016 10:00;88.0;94.0;77.0;0.0;;;15.5;16.4;14.5;348.0;1.6
15/10/2016 9:00;81.0;84.0;68.0;0.0;;;16.5;16.9;15.9;6.0;2.3
15/10/2016 8:00;69.0;79.0;56.0;0.0;;;16.4;18.5;12.6;50.0;1.1
15/10/2016 7:00;79.0;82.0;77.0;0.0;0.0;;12.5;12.6;11.2;182.0;1.7
15/10/2016 6:00;80.0;82.0;79.0;0.0;;;11.2;11.2;10.7;180.0;2.6
15/10/2016 5:00;78.0;82.0;76.0;0.0;;;11.2;11.4;10.6;179.0;2.9
15/10/2016 4:00;78.0;89.0;77.0;0.0;;;11.2;11.2;10.2;193.0;2.9
15/10/2016 3:00;83.0;84.0;78.0;0.0;;;10.5;11.4;10.4;198.0;2.4
15/10/2016 2:00;83.0;94.0;75.0;0.0;;;11.0;12.6;10.6;198.0;1.2
15/10/2016 1:00;79.0;83.0;76.0;0.0;;;12.1;12.3;11.1;184.0;4.8
15/10/2016 0:00;80.0;85.0;74.0;0.0;;;11.3;12.9;11.3;190.0;0.7
14/10/2016 23:00;84.0;89.0;82.0;0.0;;;11.6;12.5;11.6;180.0;2.2
14/10/2016 22:00;88.0;95.0;80.0;0.0;;;12.0;13.2;11.7;164.0;1.1
14/10/2016 21:00;84.0;91.0;80.0;0.0;;;13.1;13.8;12.0;187.0;2.7
14/10/2016 20:00;92.0;94.0;87.0;0.0;;;12.1;13.5;11.9;175.0;1.9
14/10/2016 19:00;91.0;98.0;88.0;0.0;0.0;;13.4;13.6;13.1;205.0;1.3
14/10/2016 13:00;;85.0;73.0;0.0;0.0;;;18.7;16.6;;
