FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION ACUMULADA;PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA;DIRECCION DEL VIENTO;VELOCIDAD DEL VIENTO
21/10/2016 10:00;79.0;84.0;79.0;0.0;;;24.0;24.0;22.6;;
21/10/2016 9:00;84.0;89.0;84.0;0.0;;;22.7;22.8;21.6;;
21/10/2016 8:00;89.0;93.0;89.0;0.0;;;21.6;21.7;20.9;;
21/10/2016 7:00;92.0;93.0;91.0;0.0;0.0;;20.9;21.2;20.9;;
21/10/2016 6:00;92.0;93.0;92.0;0.0;;;21.0;21.1;21.0;;
21/10/2016 5:00;93.0;95.0;93.0;0.0;;;21.1;21.1;20.9;;
21/10/2016 4:00;95.0;96.0;95.0;0.0;;;20.9;20.9;20.7;;
21/10/2016 3:00;;96.0;94.0;0.0;;;;21.3;21.0;;
21/10/2016 1:00;;88.0;88.0;0.0;;;;22.7;22.6;;
21/10/2016 0:00;88.0;88.0;87.0;0.0;;;22.7;23.1;22.7;;
20/10/2016 23:00;87.0;88.0;87.0;0.0;;;23.1;23.4;23.1;;
20/10/2016 22:00;88.0;88.0;86.0;0.0;;;23.4;23.8;23.3;;
20/10/2016 21:00;86.0;86.0;84.0;0.0;;;23.8;25.0;23.8;;
20/10/2016 20:00;84.0;84.0;78.0;0.0;;;25.0;26.1;25.0;;
20/10/2016 19:00;78.0;78.0;69.0;0.0;0.0;;26.2;28.0;26.1;;
20/10/2016 18:00;69.0;69.0;60.0;0.0;;;28.0;30.5;28.0;;
20/10/2016 17:00;59.0;67.0;59.0;0.0;;;30.6;31.4;29.9;;
20/10/2016 16:00;66.0;74.0;65.0;0.0;;;29.8;29.9;28.5;;
20/10/2016 15:00;71.0;76.0;71.0;0.0;;;28.8;29.2;28.1;;
20/10/2016 14:00;74.0;76.0;56.0;0.0;;;29.2;30.9;28.8;;
20/10/2016 13:00;59.0;69.0;58.0;0.0;0.0;;30.6;30.7;27.5;;
20/10/2016 12:00;67.0;77.0;65.0;0.0;;;27.5;28.4;25.3;;
20/10/2016 11:00;76.0;82.0;75.0;0.0;;;25.8;25.8;23.7;;
