FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA;VIENTO DIRECCION;VIENTO VELOCIDAD
04/10/2016 9:00;72.0;78.0;62.0;0.0;;;15.7;18.2;15.7;65.0;1.1
04/10/2016 8:00;62.0;83.0;57.0;0.0;;;18.3;18.3;12.5;51.0;1.5
04/10/2016 7:00;;85.0;79.0;0.0;0.0;;;12.8;11.5;;
04/10/2016 6:00;82.0;86.0;81.0;0.0;;;12.0;12.1;10.7;178.0;2.0
04/10/2016 5:00;81.0;85.0;80.0;0.0;;;11.4;11.7;10.5;179.0;3.0
04/10/2016 4:00;84.0;89.0;83.0;0.0;;;10.7;11.1;10.5;191.0;2.0
04/10/2016 3:00;88.0;90.0;85.0;0.0;;;10.7;11.6;10.7;173.0;1.3
04/10/2016 2:00;88.0;90.0;86.0;0.0;;;11.1;11.3;10.3;188.0;2.3
04/10/2016 1:00;86.0;89.0;86.0;0.0;;;11.1;11.2;10.6;190.0;2.2
04/10/2016 0:00;85.0;85.0;82.0;0.0;;;11.2;11.9;11.1;211.0;1.1
03/10/2016 23:00;84.0;86.0;82.0;0.0;;;11.8;12.2;11.4;164.0;2.6
03/10/2016 22:00;85.0;90.0;85.0;0.0;;;11.7;12.0;11.2;177.0;3.6
03/10/2016 21:00;89.0;90.0;87.0;0.0;;;11.4;12.0;11.4;182.0;1.4
03/10/2016 20:00;89.0;91.0;84.0;0.0;;;11.9;13.3;11.9;156.0;1.2
03/10/2016 19:00;86.0;93.0;85.0;0.0;0.0;;13.2;13.5;12.8;208.0;0.7
03/10/2016 18:00;;91.0;82.0;0.0;;;;14.9;13.8;;
03/10/2016 17:00;85.0;91.0;78.0;0.0;;;14.8;15.5;14.4;348.0;0.6
03/10/2016 16:00;84.0;88.0;77.0;0.0;;;15.2;15.9;15.1;13.0;1.5
03/10/2016 15:00;79.0;83.0;74.0;0.0;;;15.6;16.5;15.2;17.0;0.8
03/10/2016 14:00;74.0;81.0;71.0;0.0;;;16.1;17.7;15.8;7.0;1.2
03/10/2016 13:00;;85.0;74.0;0.0;0.0;;;16.8;15.6;;
03/10/2016 12:00;;84.0;76.0;0.0;;;;16.9;16.2;;
03/10/2016 11:00;80.0;89.0;68.0;0.0;;;16.5;17.2;15.3;78.0;1.0
03/10/2016 10:00;81.0;83.0;66.0;0.0;;;15.5;17.4;15.4;35.0;1.0
