FECHA;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
25/10/2016 21:00;95.0;95.0;84.0;0.0;;799.5;7.7;9.8;7.7;56.0;1.9
25/10/2016 20:00;87.0;99.0;87.0;0.0;;799.5;9.5;9.6;8.7;291.0;2.1
25/10/2016 19:00;98.0;98.0;92.0;0.0;0.0;799.5;9.1;9.8;9.1;307.0;1.9
25/10/2016 18:00;92.0;93.0;89.0;0.0;;799.5;9.8;10.0;9.5;337.0;2.3
25/10/2016 17:00;91.0;92.0;82.0;0.0;;799.6;10.0;11.9;10.0;322.0;2.5
25/10/2016 16:00;82.0;86.0;72.0;0.0;;799.6;11.7;13.4;11.6;306.0;2.5
25/10/2016 15:00;82.0;83.0;64.0;0.0;;799.7;13.3;14.9;13.1;325.0;2.5
25/10/2016 14:00;70.0;78.0;64.0;0.0;;799.7;14.3;16.2;14.1;317.0;2.7
25/10/2016 13:00;66.0;74.0;61.0;0.0;2.2;799.7;16.5;32.0;15.5;324.0;4.4
25/10/2016 12:00;;72.0;56.0;0.0;;;;17.7;15.4;;
25/10/2016 11:00;63.0;72.0;35.0;0.4;;708.4;15.9;26.4;13.7;337.0;2.9
25/10/2016 10:00;62.0;76.0;60.0;1.8;;708.8;14.0;14.4;12.5;311.0;2.3
25/10/2016 9:00;71.0;79.0;68.0;0.0;;708.8;12.8;12.9;11.1;330.0;0.6
25/10/2016 8:00;72.0;89.0;68.0;0.0;;708.6;11.3;11.8;8.9;354.0;1.4
25/10/2016 7:00;87.0;91.0;87.0;0.0;0.0;708.0;8.8;8.9;7.9;307.0;0.4
25/10/2016 6:00;88.0;91.0;85.0;0.0;;707.4;8.1;8.5;7.9;257.0;0.4
25/10/2016 5:00;91.0;94.0;88.0;0.0;;707.2;8.1;8.3;7.2;187.0;1.3
25/10/2016 4:00;91.0;91.0;88.0;0.0;;707.1;8.2;8.5;7.9;210.0;0.7
25/10/2016 3:00;88.0;95.0;88.0;0.0;;707.4;8.4;8.4;7.7;201.0;1.0
25/10/2016 2:00;93.0;93.0;88.0;0.0;;707.6;7.7;8.3;7.6;198.0;0.4
25/10/2016 1:00;90.0;94.0;88.0;0.0;;708.1;8.0;8.6;7.8;81.0;0.6
25/10/2016 0:00;91.0;95.0;90.0;0.0;;708.7;8.6;8.8;8.3;4.0;1.0
24/10/2016 23:00;94.0;98.0;94.0;0.0;;709.2;8.8;8.9;8.4;356.0;0.9
24/10/2016 22:00;97.0;98.0;96.0;0.0;;709.4;8.5;8.9;8.2;359.0;0.5
