FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA; DIRECCION DEL VIENTO; VELOCIDAD DEL VIENTO
01/10/2016 21:00;;99.0;95.0;0.0;;;;12.0;11.8;;
01/10/2016 19:00;;99.0;98.0;0.0;0.5;;;13.0;12.8;;
01/10/2016 18:00;99.0;99.0;94.0;0.0;;;12.9;13.4;12.7;200.0;0.2
01/10/2016 17:00;97.0;98.0;90.0;0.0;;;12.9;13.6;12.7;22.0;1.4
01/10/2016 16:00;98.0;98.0;90.0;0.1;;;12.9;13.8;12.7;27.0;2.2
01/10/2016 15:00;96.0;98.0;88.0;0.4;;;12.7;14.3;12.7;32.0;1.2
01/10/2016 14:00;;97.0;91.0;0.0;;;;15.2;13.8;;
01/10/2016 13:00;;97.0;88.0;0.0;0.0;;;16.8;15.2;;
01/10/2016 12:00;89.0;97.0;81.0;0.0;;;16.7;17.5;15.3;20.0;1.4
01/10/2016 11:00;;87.0;83.0;0.0;;;;16.0;15.8;;
01/10/2016 10:00;;88.0;70.0;0.0;;;;17.5;16.6;;
01/10/2016 9:00;76.0;83.0;59.0;0.0;;;17.3;19.7;16.0;353.0;1.9
01/10/2016 8:00;70.0;88.0;68.0;0.0;;;17.6;17.7;11.9;122.0;0.8
01/10/2016 7:00;84.0;89.0;82.0;0.0;2.4;;11.9;12.1;11.1;180.0;2.2
01/10/2016 6:00;90.0;93.0;89.0;0.0;;;11.1;11.8;11.0;182.0;1.9
01/10/2016 5:00;90.0;96.0;90.0;0.0;;;11.7;11.7;11.2;155.0;1.1
01/10/2016 4:00;95.0;97.0;94.0;0.0;;;11.3;11.6;11.2;158.0;1.1
01/10/2016 3:00;96.0;97.0;95.0;0.2;;;11.4;11.5;11.2;178.0;1.2
01/10/2016 2:00;97.0;98.0;95.0;0.3;;;11.2;11.8;11.2;181.0;1.4
01/10/2016 1:00;96.0;96.0;94.0;0.2;;;11.7;12.0;11.7;182.0;0.9
01/10/2016 0:00;96.0;96.0;92.0;0.0;;;11.8;12.2;11.8;188.0;1.7
30/09/2016 23:00;94.0;98.0;94.0;0.1;;;12.0;12.0;11.5;166.0;1.7
