FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION ACUMULADA;PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA;DIRECCION DEL VIENTO;VELOCIDAD DEL VIENTO
22/10/2016 21:00;86.0;86.0;84.0;0.0;;;23.6;24.3;23.5;;
22/10/2016 20:00;;83.0;79.0;0.0;;;;25.3;24.1;;
22/10/2016 19:00;79.0;79.0;74.0;0.0;0.0;;25.3;26.4;25.3;;
22/10/2016 18:00;74.0;74.0;64.0;0.0;;;26.4;29.0;26.4;;
22/10/2016 17:00;;64.0;60.0;0.0;;;;30.3;29.3;;
22/10/2016 16:00;;65.0;61.0;0.0;;;;30.1;28.7;;
22/10/2016 15:00;64.0;68.0;62.0;0.0;;;29.0;29.9;28.0;;
22/10/2016 14:00;;71.0;69.0;0.0;;;;27.8;26.8;;
22/10/2016 13:00;70.0;74.0;70.0;0.0;0.1;;27.2;27.4;25.9;;
22/10/2016 12:00;73.0;81.0;73.0;0.0;;;26.4;26.5;24.5;;
22/10/2016 11:00;80.0;85.0;80.0;0.0;;;24.6;24.8;23.6;;
22/10/2016 10:00;84.0;91.0;83.0;0.0;;;23.7;24.1;22.4;;
22/10/2016 9:00;91.0;97.0;90.0;0.0;;;22.5;22.7;21.1;;
22/10/2016 8:00;96.0;98.0;96.0;0.1;;;21.1;21.2;20.8;;
22/10/2016 7:00;97.0;97.0;97.0;0.0;0.0;;20.8;20.9;20.6;;
22/10/2016 6:00;97.0;97.0;95.0;0.0;;;20.7;21.1;20.7;;
22/10/2016 5:00;95.0;96.0;91.0;0.0;;;21.1;21.7;21.1;;
22/10/2016 4:00;91.0;92.0;91.0;0.0;;;21.7;22.0;21.7;;
22/10/2016 3:00;92.0;92.0;92.0;0.0;;;22.0;22.1;22.0;;
22/10/2016 2:00;92.0;93.0;92.0;0.0;;;22.1;22.1;21.9;;
22/10/2016 1:00;93.0;94.0;93.0;0.0;;;21.9;22.0;21.9;;
22/10/2016 0:00;;93.0;91.0;0.0;;;;21.8;21.6;;
21/10/2016 23:00;91.0;91.0;88.0;0.0;;;21.8;22.8;21.8;;
21/10/2016 22:00;88.0;88.0;85.0;0.0;;;22.8;23.9;22.8;;
