FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION ACUMULADA;PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA;DIRECCION DEL VIENTO;VELOCIDAD DEL VIENTO
2/10/2016 21:00;89.0;89.0;88.0;0.0;;;23.2;23.3;23.1;;
2/10/2016 20:00;88.0;88.0;87.0;0.0;;;23.3;24.2;23.3;;
2/10/2016 19:00;87.0;87.0;81.0;0.0;0.0;;24.2;26.1;24.2;;
2/10/2016 18:00;81.0;81.0;74.0;0.0;;;26.1;27.3;26.1;;
2/10/2016 17:00;75.0;78.0;74.0;0.0;;;27.3;27.6;26.6;;
2/10/2016 16:00;76.0;79.0;73.0;0.0;;;27.0;27.8;26.7;;
2/10/2016 15:00;75.0;78.0;73.0;0.0;;;27.3;27.4;26.5;;
2/10/2016 14:00;74.0;79.0;74.0;0.0;;;27.1;27.2;26.2;;
2/10/2016 13:00;75.0;80.0;74.0;0.0;0.0;;26.5;26.9;25.7;;
2/10/2016 12:00;76.0;79.0;74.0;0.0;;;26.6;26.7;25.4;;
2/10/2016 11:00;80.0;84.0;76.0;0.0;;;25.3;26.0;24.3;;
2/10/2016 10:00;82.0;86.0;81.0;0.0;;;24.6;24.7;23.6;;
2/10/2016 9:00;85.0;87.0;83.0;0.0;;;23.7;24.2;22.9;;
2/10/2016 8:00;87.0;90.0;87.0;0.0;;;22.9;22.9;22.2;;
2/10/2016 7:00;90.0;92.0;90.0;0.0;0.0;;22.2;22.2;21.8;;
2/10/2016 6:00;92.0;92.0;90.0;0.0;;;21.8;22.0;21.8;;
2/10/2016 5:00;91.0;91.0;90.0;0.0;;;22.0;22.0;21.9;;
2/10/2016 4:00;91.0;93.0;91.0;0.0;;;22.0;22.1;21.9;;
2/10/2016 3:00;92.0;92.0;91.0;0.0;;;22.1;22.1;22.1;;
2/10/2016 2:00;92.0;96.0;91.0;0.0;;;22.1;22.1;21.8;;
2/10/2016 1:00;96.0;97.0;96.0;0.0;;;21.8;21.9;21.7;;
2/10/2016 0:00;97.0;97.0;93.0;0.0;;;21.8;22.4;21.7;;
1/10/2016 23:00;93.0;93.0;88.0;0.0;;;22.4;23.5;22.4;;
1/10/2016 22:00;89.0;90.0;84.0;0.0;;;23.5;24.6;23.5;;
