FECHA;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
24/10/2016 21:00;79.0;79.0;74.0;0.0;;1010.8;23.7;25.3;23.7;199.0;2.4
24/10/2016 20:00;74.0;75.0;68.0;0.0;;1010.0;25.3;27.3;25.3;190.0;3.1
24/10/2016 19:00;69.0;69.0;64.0;0.0;0.0;1009.4;27.3;28.0;27.3;194.0;2.2
24/10/2016 18:00;65.0;66.0;63.0;0.0;;1008.4;28.1;28.6;28.0;179.0;1.6
24/10/2016 17:00;63.0;64.0;61.0;0.0;;1007.8;28.6;29.2;28.6;175.0;1.1
24/10/2016 16:00;62.0;65.0;59.0;0.0;;1007.5;28.8;29.6;28.5;25.0;0.1
24/10/2016 15:00;61.0;66.0;58.0;0.0;;1007.6;29.0;30.1;28.0;49.0;1.2
24/10/2016 14:00;62.0;67.0;60.0;0.0;;1008.4;28.3;29.2;27.6;174.0;1.3
24/10/2016 13:00;;71.0;64.0;0.0;0.0;;;27.8;26.3;;
24/10/2016 12:00;69.0;71.0;67.0;0.0;;1010.3;26.6;26.7;26.1;165.0;1.4
