FECHA;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
06/11/2016 21:00;80.0;81.0;75.0;0.0;;708.6;8.9;10.1;8.6;171.0;0.5
06/11/2016 20:00;77.0;78.0;69.0;0.0;;708.2;10.0;11.2;9.8;122.0;2.7
06/11/2016 19:00;71.0;74.0;68.0;0.0;0.0;707.8;11.1;12.6;10.6;146.0;1.8
06/11/2016 18:00;68.0;68.0;60.0;0.0;;707.5;12.6;14.5;12.5;146.0;3.7
06/11/2016 17:00;63.0;65.0;58.0;0.0;;707.1;14.1;15.1;13.6;158.0;5.2
06/11/2016 16:00;61.0;65.0;58.0;0.0;;707.0;15.0;15.7;14.2;154.0;4.7
06/11/2016 15:00;63.0;69.0;61.0;0.0;;707.6;14.6;15.1;13.3;137.0;3.9
06/11/2016 14:00;68.0;72.0;64.0;0.0;;708.3;13.3;14.2;12.5;152.0;3.2
06/11/2016 13:00;68.0;71.0;65.0;0.0;0.0;709.1;13.0;13.5;12.3;77.0;3.8
06/11/2016 12:00;66.0;70.0;63.0;0.0;;709.7;12.7;14.1;12.4;119.0;4.7
06/11/2016 11:00;65.0;75.0;63.0;0.0;;710.3;14.1;14.2;11.8;121.0;6.6
06/11/2016 10:00;73.0;81.0;71.0;0.0;;710.5;11.9;12.8;10.6;140.0;6.3
06/11/2016 9:00;78.0;81.0;73.0;0.0;;710.5;10.9;11.4;10.6;130.0;6.1
06/11/2016 8:00;77.0;82.0;76.0;0.0;;710.1;11.0;11.0;10.2;133.0;5.3
06/11/2016 7:00;81.0;85.0;79.0;0.2;0.5;709.4;10.4;10.5;9.5;132.0;5.6
06/11/2016 6:00;85.0;86.0;78.0;0.1;;708.6;9.8;10.5;9.6;128.0;3.8
06/11/2016 5:00;81.0;85.0;80.0;0.0;;708.0;10.1;10.2;9.6;133.0;3.8
06/11/2016 4:00;82.0;88.0;78.0;0.2;;707.7;10.0;10.6;9.4;140.0;3.7
06/11/2016 3:00;81.0;81.0;77.0;0.0;;707.8;10.3;10.7;10.1;125.0;2.9
06/11/2016 2:00;79.0;84.0;74.0;0.0;;708.1;10.5;11.0;9.9;159.0;2.8
06/11/2016 1:00;75.0;79.0;74.0;0.0;;708.7;11.0;11.1;10.5;131.0;4.0
06/11/2016 0:00;79.0;80.0;74.0;0.0;;709.3;10.7;11.2;10.6;109.0;4.1
05/11/2016 23:00;80.0;84.0;78.0;0.0;;709.8;10.7;10.9;10.3;109.0;4.5
05/11/2016 22:00;80.0;81.0;78.0;0.0;;709.8;10.5;10.7;10.3;130.0;3.0
