;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
03/11/2016 21:00;75.0;93.0;72.0;0.0;;;7.5;8.1;5.5;127.0;5.0
03/11/2016 20:00;;91.0;75.0;0.0;;;;8.6;6.3;;
03/11/2016 19:00;74.0;91.0;74.0;0.0;0.0;;8.6;9.1;6.8;97.0;1.6
03/11/2016 18:00;77.0;93.0;76.0;0.0;;;9.0;9.1;7.6;153.0;4.1
03/11/2016 17:00;83.0;85.0;74.0;0.0;;;8.6;8.9;7.8;92.0;4.2
03/11/2016 16:00;76.0;78.0;72.0;0.0;;;8.2;9.7;8.1;313.0;1.3
03/11/2016 15:00;75.0;79.0;71.0;0.0;;;8.9;9.9;7.9;299.0;2.3
03/11/2016 14:00;75.0;85.0;73.0;0.0;;;9.4;9.8;6.8;333.0;4.8
03/11/2016 13:00;82.0;82.0;73.0;0.0;0.0;;6.9;9.3;6.9;300.0;2.3
03/11/2016 12:00;76.0;79.0;72.0;0.0;;;8.7;9.5;7.6;331.0;2.2
03/11/2016 11:00;73.0;80.0;73.0;0.0;;;8.5;8.5;6.9;140.0;0.4
03/11/2016 10:00;75.0;77.0;70.0;0.0;;;8.0;9.1;7.4;347.0;1.3
03/11/2016 9:00;71.0;77.0;69.0;0.0;;;8.4;9.2;7.3;59.0;1.0
03/11/2016 8:00;72.0;81.0;69.0;0.0;;;8.3;8.5;5.6;6.0;1.1
03/11/2016 7:00;79.0;85.0;76.0;0.0;0.0;;7.7;7.7;5.4;154.0;1.4
03/11/2016 6:00;80.0;84.0;75.0;0.0;;;6.5;7.8;5.6;98.0;2.8
03/11/2016 5:00;84.0;92.0;79.0;0.0;;;5.7;6.7;3.9;157.0;1.0
03/11/2016 4:00;92.0;92.0;81.0;0.0;;;3.9;6.9;3.8;167.0;2.1
03/11/2016 3:00;83.0;87.0;80.0;0.0;;;6.2;6.8;5.2;230.0;0.5
03/11/2016 2:00;86.0;87.0;74.0;0.0;;;5.3;8.0;4.7;162.0;1.0
03/11/2016 1:00;81.0;87.0;80.0;0.0;;;7.7;7.9;5.0;136.0;4.9
03/11/2016 0:00;86.0;86.0;82.0;0.0;;;5.1;6.4;5.1;261.0;0.8
02/11/2016 23:00;83.0;84.0;79.0;0.0;;;6.0;6.5;5.6;254.0;1.3
02/11/2016 22:00;81.0;85.0;80.0;0.0;;;6.0;6.3;5.5;141.0;1.6
